Object Name,Object ID,Property ID,Index,Value,Description
AHU 1              ,device:3600005,systemStatus,,Operational,VCCX-IP Controller
Application Software Version,analogInput:1,presentValue,,2.25,Application Software Version
Control Mode,analogInput:2,presentValue,,4.00,Control Mode
Control Status,analogInput:3,presentValue,,5.00,Control Status
Hvac Mode,analogInput:4,presentValue,,3.00,Hvac Mode
Control Temperature,analogInput:5,presentValue,,68.30,Control Temperature
Mode Cooling Setpoint,analogInput:6,presentValue,,75.00,Mode Cooling Setpoint
Mode Heating Setpoint,analogInput:7,presentValue,,68.00,Mode Heating Setpoint
Sensor Slide Adjust Effect,analogInput:8,presentValue,,0.00,Sensor Slide Adjust Effect
Supply Air Temperature,analogInput:9,presentValue,,113.50,Supply Air Temperature
Supply Air Setpoint,analogInput:10,presentValue,,120.00,Supply Air Setpoint
Controlling Coil Temp Setpoint,analogInput:11,presentValue,,45.00,Controlling Coil Temp Setpoint
Space Temperature,analogInput:12,presentValue,,68.30,Space Temperature
Space Humidity,analogInput:13,presentValue,,0.00,Space Humidity
Return Air Temperature,analogInput:14,presentValue,,75.70,Return Air Temperature
Return Air Humidity,analogInput:15,presentValue,,21.90,Return Air Humidity
Outdoor Air Temperature,analogInput:16,presentValue,,33.10,Outdoor Air Temperature
Outdoor Air Humidity,analogInput:17,presentValue,,71.00,Outdoor Air Humidity
Outdoor Air Wetbulb,analogInput:18,presentValue,,28.90,Outdoor Air Wetbulb
Outdoor Air Dewpoint,analogInput:19,presentValue,,24.70,Outdoor Air Dewpoint
Supply Air Setpoint Reset Voltage,analogInput:20,presentValue,,0.00,Supply Air Setpoint Reset Voltage
Duct Static Pressure,analogInput:21,presentValue,,0.00,Duct Static Pressure
Duct Static Control Signal,analogInput:22,presentValue,,100.00,Duct Static Control Signal
Building Pressure,analogInput:23,presentValue,, -0.03,Building Pressure
Building Pressure Control Signal,analogInput:24,presentValue,,0.00,Building Pressure Control Signal
Outdoor Airflow,analogInput:25,presentValue,,0.00,Outdoor Airflow
Supply Airflow,analogInput:26,presentValue,,0.00,Supply Airflow
Return Airflow,analogInput:27,presentValue,,0.00,Return Airflow
Exhaust Airflow,analogInput:28,presentValue,,0.00,Exhaust Airflow
Carbon Dioxide,analogInput:29,presentValue,,0.00,Carbon Dioxide
Desired Economizer Position,analogInput:30,presentValue,,10.00,Desired Economizer Position
Economizer Feedback Position,analogInput:31,presentValue,,5.00,Economizer Feedback Position
Return Damper Position,analogInput:32,presentValue,,90.00,Return Damper Position
Return Bypass Position,analogInput:33,presentValue,,0.00,Return Bypass Position
Modulating Cooling Position,analogInput:34,presentValue,,0.00,Modulating Cooling Position
Modulating Heat Position,analogInput:35,presentValue,,0.00,Modulating Heat Position
Preheater Leaving Air Temp #1,analogInput:36,presentValue,,0.00,Preheater Leaving Air Temp #1
Preheater Leaving Air Temp #2,analogInput:37,presentValue,,0.00,Preheater Leaving Air Temp #2
Preheater Entering Air Temp,analogInput:38,presentValue,, -50.00,Preheater Entering Air Temp
Preheater Setpoint Reset Voltage,analogInput:39,presentValue,,0.00,Preheater Setpoint Reset Voltage
Preheater SCR Output Signal,analogInput:40,presentValue,,0.00,Preheater SCR Output Signal
Preheater PWM Output Signal,analogInput:41,presentValue,,0.00,Preheater PWM Output Signal
Mod Hot Gas Reheat Valve Position,analogInput:42,presentValue,,0.00,Mod Hot Gas Reheat Valve Position
Mod Gas Heat Valve Position,analogInput:43,presentValue,,67.60,Mod Gas Heat Valve Position
Alarm Status,analogInput:144,presentValue,,0.00,Alarm Status
Outdoor Air Enthalpy,analogInput:145,presentValue,,10.70,Outdoor Air Enthalpy
Plenum Pressure,analogInput:146,presentValue,,0.00,Plenum Pressure
Return Fan VFD Signal,analogInput:147,presentValue,,0.00,Return Fan VFD Signal
Plenum Pressure Setpoint,analogInput:148,presentValue,,0.00,Plenum Pressure Setpoint
Return Air Enthalpy,analogInput:149,presentValue,,22.60,Return Air Enthalpy
Current Duct Static Setpoint,analogInput:150,presentValue,,1.50,Current Duct Static Setpoint
Entering Water Temp,analogInput:277,presentValue,, -126.60,Entering Water Temp
Return Plenum Pressure Status,analogInput:278,presentValue,,0.00,Return Plenum Pressure Status
Return Plenum Control Signal,analogInput:279,presentValue,,0.00,Return Plenum Control Signal
Mixed Air Temp,analogInput:280,presentValue,,0.00,Mixed Air Temp
Actual Heat Rise,analogInput:281,presentValue,,0.00,Actual Heat Rise
Calculated Heat Rise,analogInput:282,presentValue,,0.00,Calculated Heat Rise
Supply Air Relative Humidity,analogInput:283,presentValue,,0.00,Supply Air Relative Humidity
Supply Air Dew Point,analogInput:284,presentValue,,0.00,Supply Air Dew Point
Space Dew Point,analogInput:285,presentValue,,0.00,Space Dew Point
Return Dew Point,analogInput:286,presentValue,,34.20,Return Dew Point
FAC Fan Alarm State Fan 1,analogInput:287,presentValue,,0.00,FAC Fan Alarm State Fan 1
FAC Fan Alarm State Fan 2,analogInput:288,presentValue,,0.00,FAC Fan Alarm State Fan 2
FAC Fan Alarm State Fan 3,analogInput:289,presentValue,,0.00,FAC Fan Alarm State Fan 3
FAC Fan Alarm State Fan 4,analogInput:290,presentValue,,0.00,FAC Fan Alarm State Fan 4
FAC Fan Alarm State Fan 5,analogInput:291,presentValue,,0.00,FAC Fan Alarm State Fan 5
FAC Fan Alarm State Fan 6,analogInput:292,presentValue,,0.00,FAC Fan Alarm State Fan 6
FAC Fan Alarm State Fan 7,analogInput:293,presentValue,,0.00,FAC Fan Alarm State Fan 7
FAC Fan Alarm State Fan 8,analogInput:294,presentValue,,0.00,FAC Fan Alarm State Fan 8
FAC Fan Alarm State Fan 9,analogInput:295,presentValue,,0.00,FAC Fan Alarm State Fan 9
