Object Name,Object ID,Property ID,Index,Value,Description
VAV_ELECTRIC_RH,device:380010,systemStatus,,Operational,"VAV CTRL/ACT/DP, 3UI, 2CO, 3 BO"
SPMAXPOS,analogValue:5715,presentValue,,80.00,
CLG-REQ,analogValue:5869,presentValue,,0.00,
PRESS-REQ,analogValue:5871,presentValue,,0.00,
HTG-REQ,analogValue:5870,presentValue,,0.00,
ZNT-SP,analogValue:12,presentValue,,72.00,
SA-T,analogValue:75,presentValue,,61.60,
8-1/Preloaded App Loader.App Selector,multiStateValue:1000,presentValue,,1,
8-1/BACnet Encoding Type,multiStateValue:1003,presentValue,,1,
8-1/FC Bus Baud Rate Selection,multiStateValue:1004,presentValue,,1,
DA-T,analogInput:1019,presentValue,,65.00,Discharge Air Temperature
DA-VP,analogInput:1094,presentValue,,0.20,Discharge Air Velocity Pressure
ZN-T,analogInput:1106,presentValue,,70.15,Zone Temperature
AUTOCAL-C,binaryValue:4,presentValue,,Inactive,
HTG-EN,binaryValue:7,presentValue,,Active,
8-1/Device Object Identifier,analogValue:1002,presentValue,,380010.00,
OCC-MODE,multiStateValue:2086,presentValue,,1,Occupancy Status Display
PRESS-REQ SRC,analogValue:25269,presentValue,,0.00,
CLG-REQ SRC,analogValue:25270,presentValue,,0.00,
TUNING-RESET,binaryValue:769,presentValue,,Inactive,
HTG-O,analogOutput:2014,presentValue,,12.21,Heating Output
DPR-O,analogOutput:2131,presentValue,,61.64,Supply Air Damper Output
AUTOCAL-STATE,multiStateValue:3091,presentValue,,5,
DATSP-STATE,multiStateValue:3121,presentValue,,3,
8-1/Backup_Boot,file:1,fileSize,,65536,
8-1/Backup_Main,file:2,fileSize,,1993114,
8-1/Archive,file:3,fileSize,,36373,
8-1/Core_Dump,file:5,fileSize,,5696,
8-1/Checkout,file:7,fileSize,,0,
8-1/Static,file:11,fileSize,,472,
8-1/Dynamic,file:12,fileSize,,94,
8-1/Backup_Archive,file:13,fileSize,,36373,
8-1/SA Bus Audit Log,file:19,fileSize,,547,
8-1/Radio,file:24,fileSize,,0,
EFF-OCC,multiStateValue:3290,presentValue,,1,
8-1/IomUpdatePkg,file:30,fileSize,,0,
SAD-OUTSTATE,multiStateValue:3385,presentValue,,4,
SAFLOW-OUTSTATE,multiStateValue:3387,presentValue,,5,
UNITEN-STATE,multiStateValue:3393,presentValue,,2,
UNOCC-STATE,multiStateValue:3452,presentValue,,7,
ZNT-STATE,multiStateValue:3466,presentValue,,4,
HTGOCC-MINFLOW,analogValue:3110,presentValue,,980.00,
CLGOCC-MINFLOW,analogValue:3109,presentValue,,980.00,
CLG-MAXFLOW,analogValue:3108,presentValue,,980.00,
SA-KFACTOR,analogValue:3112,presentValue,,2.00,
SA-AREA,analogValue:3111,presentValue,,0.79,
DATHTGMAX-SP,analogValue:3119,presentValue,,105.00,
DATSATISFIED-SP,analogValue:3120,presentValue,,61.60,
CLDWN-MINFLOW,analogValue:3266,presentValue,,200.00,
CLG-MINFLOW,analogValue:3267,presentValue,,980.00,
HTG-MINFLOW,analogValue:3268,presentValue,,980.00,
OCC-LEVEL,analogValue:3269,presentValue,,0.00,
MINFLOWCO2-PB,analogValue:3270,presentValue,,400.00,
MINFLOWCO2-SP,analogValue:3271,presentValue,,700.00,
CLGUNOCC-MINFLOW,analogValue:3272,presentValue,,980.00,
HTGUNOCC-MINFLOW,analogValue:3273,presentValue,,980.00,
WU-MINFLOW,analogValue:3274,presentValue,,200.00,
OCCMODE-BYPASSTIME,analogValue:3289,presentValue,,3600.00,
STGDEV-STATE,multiStateValue:4125,presentValue,,2,
SAFLOW-SP,analogValue:3384,presentValue,,980.00,
SAD-ST,analogValue:3386,presentValue,,60.00,
PFRESTART-TIME,analogValue:3392,presentValue,,60.00,
UNOCC-SATTIME,analogValue:3450,presentValue,,300.00,
EFFCLG-SP,analogValue:3472,presentValue,,74.00,
EFFHTG-SP,analogValue:3473,presentValue,,70.00,
CLGOCC-SP,analogValue:3474,presentValue,,74.00,
HTGOCC-SP,analogValue:3475,presentValue,,70.00,
CLGSTBY-SP,analogValue:3476,presentValue,,77.00,
HTGSTBY-SP,analogValue:3477,presentValue,,66.00,
CLGUNOCC-SP,analogValue:3478,presentValue,,82.00,
HTGUNOCC-SP,analogValue:3479,presentValue,,61.00,
SA-F,analogValue:3515,presentValue,,981.56,
CLG-O,analogValue:3615,presentValue,,0.00,
Notification,notificationClass:1,notificationClass,,1,
STGDEV-MINFLOW,analogValue:4124,presentValue,,60.00,
CLG-ABSERROR,analogValue:4245,presentValue,,0.73,
CLG-ABSEFFORT,analogValue:4246,presentValue,,0.70,
CLG-ERROR,analogValue:4247,presentValue,, -0.32,
CLG-EWMA,analogValue:4248,presentValue,,66.50,
PFRESTART-EN,binaryValue:3391,presentValue,,Inactive,
ZN-HTG-ABSERROR,analogValue:4353,presentValue,,0.06,
ZN-HTG-ABSEFFORT,analogValue:4354,presentValue,,0.40,
ZN-HTG-ERROR,analogValue:4355,presentValue,, -0.03,
ZN-HTG-EWMA,analogValue:4356,presentValue,,17.42,
HTG-OUTSTATE,multiStateValue:5219,presentValue,,6,
SAFLOW-ABSERROR,analogValue:4409,presentValue,,9.51,
SAFLOW-ABSEFFORT,analogValue:4410,presentValue,,0.00,
SAFLOW-ERROR,analogValue:4411,presentValue,,0.55,
SAFLOW-EWMA,analogValue:4412,presentValue,,61.37,
FC Bus,networkPort:1,networkType,,Mstp,FC Bus
DPR-POS,analogValue:280939,presentValue,,61.02,
Event Log,eventLog:10001,recordCount,,1,
HTG-ABSERROR,analogValue:5220,presentValue,,0.28,
HTG-ABSEFFORT,analogValue:5221,presentValue,,0.94,
HTG-ERROR,analogValue:5222,presentValue,, -0.00,
HTG-EWMA,analogValue:5223,presentValue,,13.52,
OCC-SCHEDULE,multiStateValue:59,presentValue,,1,
SYSTEM-MODE,multiStateValue:76,presentValue,,6,
UNITEN-MODE,multiStateValue:77,presentValue,,2,
