Object Name,Object ID,Property ID,Index,Value,Description
ECB_VAV,device:3600007,systemStatus,,Operational,Property:Unknown Property:device:3600007 [description]
Program,program:1,programState,,Running,Property:Unknown Property:program:1 [description]
Device configuration,file:1,fileSize,,73728,Property:Unknown Property:file:1 [description]
Project backup,file:2,fileSize,,262144,Property:Unknown Property:file:2 [description]
Main firmware,file:3,fileSize,,296473,Property:Unknown Property:file:3 [description]
Sensor-Vue firmware,file:4,fileSize,,53248,Property:Unknown Property:file:4 [description]
Preloaded configuration,file:5,fileSize,,10240,Property:Unknown Property:file:5 [description]
Light&Sunblind firmware,file:6,fileSize,,24576,Property:Unknown Property:file:6 [description]
MultiSensor firmware,file:7,fileSize,,24576,Property:Unknown Property:file:7 [description]
GenericSubnet firmware,file:8,fileSize,,24576,Property:Unknown Property:file:8 [description]
DA_T,analogInput:1,presentValue,,100.98,Property:Unknown Property:analogInput:1 [description]
VAV Differential Pressure,analogInput:5,presentValue,,0.12,Property:Unknown Property:analogInput:5 [description]
DamperPosition,analogInput:6,presentValue,,54.20,Property:Unknown Property:analogInput:6 [description]
ComSensor 1 Temp,analogInput:5001,presentValue,,71.52,Property:Unknown Property:analogInput:5001 [description]
DamperCommand,analogOutput:7,presentValue,,54.33,Property:Unknown Property:analogOutput:7 [description]
ActFlow,analogValue:1,presentValue,,318.28,Property:Unknown Property:analogValue:1 [description]
ActFlowSP,analogValue:2,presentValue,,317.68,Property:Unknown Property:analogValue:2 [description]
HTG_O,analogValue:4,presentValue,,100.00,Property:Unknown Property:analogValue:4 [description]
ZN_T,analogValue:5,presentValue,,71.52,Property:Unknown Property:analogValue:5 [description]
DuctInTemp,analogValue:6,presentValue,,nan,Property:Unknown Property:analogValue:6 [description]
OutdoorTemp,analogValue:8,presentValue,,nan,Property:Unknown Property:analogValue:8 [description]
DamperOvr,analogValue:9,presentValue,,54.33,Property:Unknown Property:analogValue:9 [description]
DischAirSP,analogValue:12,presentValue,,150.00,Property:Unknown Property:analogValue:12 [description]
EffectSpaceTemp,analogValue:13,presentValue,,71.52,Property:Unknown Property:analogValue:13 [description]
SensorSetpoint,analogValue:20,presentValue,,72.50,Property:Unknown Property:analogValue:20 [description]
MinFlowSP,analogValue:26,presentValue,,170.00,Property:Unknown Property:analogValue:26 [description]
MaxFlowCoolSP,analogValue:27,presentValue,,420.00,Property:Unknown Property:analogValue:27 [description]
MinFlowHeatSP,analogValue:28,presentValue,,170.00,Property:Unknown Property:analogValue:28 [description]
MaxFlowHeatSP,analogValue:29,presentValue,,420.00,Property:Unknown Property:analogValue:29 [description]
MinFlowStbySP,analogValue:30,presentValue,,50.00,Property:Unknown Property:analogValue:30 [description]
MinFlowUnoccSP,analogValue:31,presentValue,,0.00,Property:Unknown Property:analogValue:31 [description]
KFactor,analogValue:32,presentValue,,935.00,Property:Unknown Property:analogValue:32 [description]
FlowCalib,analogValue:33,presentValue,,0.00,Property:Unknown Property:analogValue:33 [description]
DamperResp,analogValue:34,presentValue,,15.00,Property:Unknown Property:analogValue:34 [description]
DamperSpeed,analogValue:35,presentValue,,95.00,Property:Unknown Property:analogValue:35 [description]
ActCoolSP,analogValue:36,presentValue,,73.50,Property:Unknown Property:analogValue:36 [description]
ActHeatSP,analogValue:37,presentValue,,71.50,Property:Unknown Property:analogValue:37 [description]
UnoccCoolSP,analogValue:38,presentValue,,79.00,Property:Unknown Property:analogValue:38 [description]
StandbyCoolSP,analogValue:39,presentValue,,78.00,Property:Unknown Property:analogValue:39 [description]
OccCoolSP,analogValue:40,presentValue,,74.00,Property:Unknown Property:analogValue:40 [description]
OccHeatSP,analogValue:41,presentValue,,72.00,Property:Unknown Property:analogValue:41 [description]
StandbyHeatSP,analogValue:42,presentValue,,68.00,Property:Unknown Property:analogValue:42 [description]
UnoccHeatSP,analogValue:43,presentValue,,67.00,Property:Unknown Property:analogValue:43 [description]
TerminalLoad,analogValue:44,presentValue,, -79.54,Property:Unknown Property:analogValue:44 [description]
TerminalLoadF,analogValue:45,presentValue,, -79.54,Property:Unknown Property:analogValue:45 [description]
ChgOverDelay,analogValue:46,presentValue,,2.00,Property:Unknown Property:analogValue:46 [description]
BypassTime,analogValue:47,presentValue,,60.00,Property:Unknown Property:analogValue:47 [description]
MaxOatDuctHeat,analogValue:48,presentValue,,90.00,Property:Unknown Property:analogValue:48 [description]
MaxOatPerimHeat,analogValue:49,presentValue,,78.00,Property:Unknown Property:analogValue:49 [description]
EffectSP,analogValue:50,presentValue,,71.50,Property:Unknown Property:analogValue:50 [description]
TempErr,analogValue:51,presentValue,,0.00,Property:Unknown Property:analogValue:51 [description]
HoldTime,analogValue:54,presentValue,,900.00,Property:Unknown Property:analogValue:54 [description]
MaxDischAirSP,analogValue:56,presentValue,,150.00,Property:Unknown Property:analogValue:56 [description]
DamperReq,analogValue:57,presentValue,,0.00,Property:Unknown Property:analogValue:57 [description]
HeatModeTempErr,analogValue:68,presentValue,,0.02,Property:Unknown Property:analogValue:68 [description]
CoolModeTempErr,analogValue:69,presentValue,,nan,Property:Unknown Property:analogValue:69 [description]
TerminalLoadHF,analogValue:71,presentValue,,100.00,Property:Unknown Property:analogValue:71 [description]
TerminalLoadCF,analogValue:72,presentValue,,100.00,Property:Unknown Property:analogValue:72 [description]
Loop 1 Controlled variable,analogValue:1011,presentValue,,71.52,Property:Unknown Property:analogValue:1011 [description]
Loop 1 Manipulated variable,analogValue:1012,presentValue,,0.00,Property:Unknown Property:analogValue:1012 [description]
Loop 1 Setpoint,analogValue:1013,presentValue,,73.50,Property:Unknown Property:analogValue:1013 [description]
Loop 2 Controlled variable,analogValue:1021,presentValue,,71.52,Property:Unknown Property:analogValue:1021 [description]
Loop 2 Manipulated variable,analogValue:1022,presentValue,,79.54,Property:Unknown Property:analogValue:1022 [description]
Loop 2 Setpoint,analogValue:1023,presentValue,,71.50,Property:Unknown Property:analogValue:1023 [description]
Loop 4 Controlled variable,analogValue:1041,presentValue,,100.96,Property:Unknown Property:analogValue:1041 [description]
Loop 4 Manipulated variable,analogValue:1042,presentValue,,100.00,Property:Unknown Property:analogValue:1042 [description]
Loop 4 Setpoint,analogValue:1043,presentValue,,150.00,Property:Unknown Property:analogValue:1043 [description]
OCC_S,binaryInput:2,presentValue,,Active,Property:Unknown Property:binaryInput:2 [description]
